Source,Zone,Parameter,Mean,Std,Median,P5,P95,Min,Max,N,%Stressed/High,%Hypoxic
Mission: Mar 2024 (dry),Barrier Islands,DO (mg/L),6.837843137254902,0.47630633425661256,6.82,6.298,7.34,4.34,8.25,765,0.0,0.0
Mission: Mar 2024 (dry),Barrier Islands,DO (%sat),100.47071895424835,6.462256922684539,100.7,92.42,106.77999999999999,63.9,109.9,765,0.0,0.0
Mission: Mar 2024 (dry),Barrier Islands,Salinity,33.06688888888889,5.317617611510393,34.07,28.15,35.89,0.21,36.13,765,0.0,0.0
Mission: Mar 2024 (dry),Barrier Islands,Temperature,25.38794248366013,0.38511951546261375,25.343,24.972,26.102800000000002,24.597,26.256,765,0.0,0.0
Mission: Mar 2024 (dry),Barrier Islands,Turbidity,113.88430065359479,337.30496134483616,8.44,0.25,546.5319999999998,0.08,3419.58,765,30.1,0.0
Mission: Mar 2024 (dry),Barrier Islands,SpConductance,50333.079607843145,7920.150406978694,51829.3,43700.740000000005,54258.82,448.9,54579.3,765,0.0,0.0
Mission: Mar 2024 (dry),Barrier Islands,Depth,1.054007843137255,1.5916734229353453,0.061,0.013,3.948999999999999,0.0,5.323,765,0.0,0.0
Mission: Mar 2025 (dry),Barrier Islands,DO (mg/L),6.85784,0.18526173290083237,6.84,6.62,7.178,6.56,7.82,125,0.0,0.0
Mission: Mar 2025 (dry),Barrier Islands,DO (%sat),76.6503229527105,8.868585207953478,73.33,70.15,98.4,68.66,101.7,867,0.0,0.0
Mission: Mar 2025 (dry),Barrier Islands,Salinity,33.23432,4.134804737754232,34.64,27.662,34.88,4.25,34.97,125,0.0,0.0
Mission: Mar 2025 (dry),Barrier Islands,Temperature,23.986442906574393,0.2207903709468745,24.009,23.4952,24.2731,23.125,24.487,867,0.0,0.0
Mission: Mar 2025 (dry),Barrier Islands,Turbidity,21.619492502883503,129.64846998603204,2.19,0.74,19.705999999999825,-0.68,1736.5,867,4.8,0.0
Mission: Mar 2025 (dry),Barrier Islands,SpConductance,50576.15759999999,5953.97728472137,52540.4,42968.700000000004,52870.62,7689.9,52998.0,125,0.0,0.0
Mission: Mar 2025 (dry),Barrier Islands,Depth,10.257524798154556,0.7982675628302959,10.171,10.161,10.8309,0.0,13.768,867,0.0,0.0
Mission: Oct 2024 (wet),Barrier Islands,DO (mg/L),7.355457227138643,1.4581215573508288,7.005,4.6285,10.375999999999998,2.73,13.09,678,1.2,0.0
Mission: Oct 2024 (wet),Barrier Islands,DO (%sat),110.58613569321533,21.143521297875893,106.2,70.655,155.075,41.7,193.6,678,0.0,0.0
Mission: Oct 2024 (wet),Barrier Islands,Salinity,30.87117994100295,4.0765673021612825,32.655,23.6585,34.82,0.21,34.89,678,0.0,0.0
Mission: Oct 2024 (wet),Barrier Islands,Temperature,27.5537005899705,0.3446645152814345,27.411,27.2097,28.18015,26.799,28.87,678,0.0,0.0
Mission: Oct 2024 (wet),Barrier Islands,Turbidity,133.5263569321534,273.3819443627312,12.28,-1.12,693.3224999999998,-1.69,2130.23,678,45.4,0.0
Mission: Oct 2024 (wet),Barrier Islands,SpConductance,47474.76356932153,5708.6628560127065,49968.25,37475.95,52903.415,443.5,52995.6,678,0.0,0.0
Mission: Oct 2024 (wet),Barrier Islands,Depth,-0.347976401179941,1.2408149985370158,-1.148,-1.237,2.5446999999999993,-1.257,2.577,678,0.0,0.0
L1 - Biscayne Canal,Canal/River,DO (mg/L),4.985599299185819,2.0489092557212696,5.26,1.57,8.03,0.0,19.92,213466,30.0,9.1
L1 - Biscayne Canal,Canal/River,DO (%sat),64.60953004824582,25.368291780649702,70.11,20.38,99.51,0.0,299.07,213490,0.0,0.0
L1 - Biscayne Canal,Canal/River,Salinity,0.44624090273870665,0.4075210932418232,0.36,0.0,0.93,0.0,11.49,220396,0.0,0.0
L1 - Biscayne Canal,Canal/River,Temperature,29.05118673660139,2.340302563133761,29.638,24.243,32.193,22.067,33.597,220396,0.0,0.0
L1 - Biscayne Canal,Canal/River,Turbidity,9.67149055105606,45.704506407340546,-0.07,-1.02,42.292999999999886,-1.39,2056.64,220395,5.2,0.0
L1 - Biscayne Canal,Canal/River,SpConductance,903.4057858128097,751.3766823180113,740.295,4.07,1833.82,0.45,19421.3,220396,0.0,0.0
L1 - Biscayne Canal,Canal/River,Depth,9.10999033104049,3.8083936844401522,10.53,0.099,11.448,-10.383,11.695,220396,0.0,0.0
L3 - Little River Up,Canal/River,DO (mg/L),2.846667620710381,1.4792331098039486,2.78,0.46,5.39,0.0,8.73,139756,78.8,30.0
L3 - Little River Up,Canal/River,DO (%sat),38.513121297117834,20.343193878409053,37.24,5.99,74.58,0.01,123.73,139756,0.0,0.0
L3 - Little River Up,Canal/River,Salinity,7.441737427879607,11.226624018420859,0.85,0.0,30.92,0.0,44.99,139177,0.0,0.0
L3 - Little River Up,Canal/River,Temperature,28.269614048770716,2.047003275179323,28.63,24.594,30.986,22.878,33.027,139756,0.0,0.0
L3 - Little River Up,Canal/River,Turbidity,16.11148083748354,61.61384342155547,5.64,0.18,46.2,-0.95,3915.48,139752,14.5,0.0
L3 - Little River Up,Canal/River,SpConductance,12216.498004092848,17964.443849857387,1722.04,13.02,47625.08,-0.81,158010.95,139756,0.0,0.0
L3 - Little River Up,Canal/River,Depth,7.564496543976646,4.753608474705125,10.397,0.097,11.156,-10.397,11.728,139756,0.0,0.0
L4 - Little River Down,Canal/River,DO (mg/L),5.3262557607378875,2.3620592482852296,5.74,1.41,8.06,0.29,8.33,156013,34.7,11.8
L4 - Little River Down,Canal/River,DO (%sat),74.05131963362028,31.812721966276865,87.09,18.586000000000002,105.12,3.74,113.76,156013,0.0,0.0
L4 - Little River Down,Canal/River,Salinity,5.890289719446456,10.233757123779206,0.25,0.0,30.16,0.0,34.72,156013,0.0,0.0
L4 - Little River Down,Canal/River,Temperature,31.121439059565553,3.4657802712535353,30.071,27.104,39.166399999999996,24.984,42.913,156013,0.0,0.0
L4 - Little River Down,Canal/River,Turbidity,65.50360208756982,125.7167533653108,50.36,1.71,159.06,0.24,3158.81,155396,64.5,0.0
L4 - Little River Down,Canal/River,SpConductance,9478.4265450956,15925.305796044226,520.61,0.02,46804.184,-0.17,52901.11,156013,0.0,0.0
L4 - Little River Down,Canal/River,Depth,7.9638367251447,4.515682563664123,10.437,0.0,11.103,0.0,11.374,156013,0.0,0.0
L0 - FIU BBC,Open Bay,DO (mg/L),5.925984245042367,1.8175514361417304,5.93,2.748000000000002,8.01,0.11,8.63,102317,16.3,2.2
L0 - FIU BBC,Open Bay,DO (%sat),84.74527380591691,20.825947957855654,93.05,43.238,102.87,1.74,114.91,102317,0.0,0.0
L0 - FIU BBC,Open Bay,Salinity,18.922266681001204,16.39865164697053,29.93,0.0,36.07,0.0,36.81,102317,0.0,0.0
L0 - FIU BBC,Open Bay,Temperature,29.593294907004704,1.8597225771216144,29.7,26.231,32.608,23.14,33.934,102317,0.0,0.0
L0 - FIU BBC,Open Bay,Turbidity,251.84747119247046,438.75417854586726,43.93,-0.08,1412.182,-1.1,2859.58,102317,63.3,0.0
L0 - FIU BBC,Open Bay,SpConductance,28973.896739447013,25064.718945927558,46365.98,0.65,54607.664000000004,0.17,55567.75,102317,0.0,0.0
L0 - FIU BBC,Open Bay,Depth,10.126737003625987,1.250666346315122,10.422,5.219,10.749,0.0,11.461,102317,0.0,0.0
L2 - Canal-Bay Junction,Open Bay,DO (mg/L),5.969937608738233,1.620758115239652,6.06,3.07,8.6,0.0,11.18,173582,9.8,2.2
L2 - Canal-Bay Junction,Open Bay,DO (%sat),87.05697229680675,20.10785134930554,90.73,48.5,110.29,0.0,212.21,173554,0.0,0.0
L2 - Canal-Bay Junction,Open Bay,Salinity,23.29068865123519,12.481033421527917,28.41,0.1,35.44,0.0,44.98,173455,0.0,0.0
L2 - Canal-Bay Junction,Open Bay,Temperature,28.770692335610835,3.569828246988866,30.108,23.224,33.339,21.099,35.24,173582,0.0,0.0
L2 - Canal-Bay Junction,Open Bay,Turbidity,50.64536901523793,257.0026865597326,0.08,0.0,209.68,-0.9,4984.72,170955,15.7,0.0
L2 - Canal-Bay Junction,Open Bay,SpConductance,36129.05219844224,19005.449350608797,44274.274999999994,221.5,53621.8495,4.88,84073.61,173582,0.0,0.0
L2 - Canal-Bay Junction,Open Bay,Depth,10.232660598449149,1.0853460537663042,10.407,10.149,10.914,0.0,11.474,173582,0.0,0.0
L5 - NBV North,Near Causeway,DO (mg/L),6.369410332113362,1.1843150714275676,6.6,4.06,7.79,0.84,10.09,73499,4.7,0.2
